id,name,host_id,host_name,neighbourhood_group,neighbourhood,seattle_region,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
26074454,Condo in Seattle · ★4.84 · Studio · 2 beds · 1 bath,86157147,Lyle,Downtown,Belltown,central,47.61438,-122.34236,Entire home/apt,161,3,202,6/11/2023,3.33,18,34,23,STR-OPLI-19-001240
54092599,Condo in Seattle · ★4.96 · Studio · 2 beds · 1 bath,192022692,Alan,Downtown,Belltown,central,47.61661,-122.34564,Entire home/apt,138,1,45,6/19/2023,4.59,1,30,45,STR-OPLI-22-000246
5337848,Guesthouse in Seattle · ★4.96 · 1 bedroom · 1 bed · 1 bath,27663401,Manlio,Northgate,Maple Leaf,north,47.70059,-122.31605,Entire home/apt,139,2,232,6/12/2023,2.31,1,313,30,STR-OPLI-19-000828
6.47E+17,Guesthouse in Seattle · ★5.0 · 1 bedroom · 2 beds · 1 bath,48434436,Jim And Connie,Other neighborhoods,Bryant,north,47.6647,-122.28793,Entire home/apt,147,2,31,6/20/2023,2.92,2,194,31,STR-OPLI-22-001172
8.45E+17,Home in Seattle · 2 bedrooms · 2 beds · 1 bath,181358648,Max & Melissa,Delridge,North Delridge,west,47.56083231,-122.3621213,Entire home/apt,145,30,0,,,2,230,0,
8.80E+17,Townhouse in Seattle · ★New · 2 bedrooms · 2 beds · 2 baths,511933152,Zeus Seattle,Queen Anne,East Queen Anne,central,47.63764516,-122.3441997,Entire home/apt,213,30,1,8/12/2022,0.09,67,73,1,
38334917,Townhouse in Seattle · ★4.88 · 4 bedrooms · 5 beds · 2.5 baths,28420265,Sherry,Central Area,Atlantic,central,47.59684,-122.30123,Entire home/apt,364,1,60,5/23/2023,1.34,38,268,8,STR-OPLI-22-000623
46534569,Guest suite in Seattle · ★4.89 · 1 bedroom · 2 beds · 1 bath,51372899,Rachel,Other neighborhoods,Roosevelt,north,47.68627,-122.32176,Entire home/apt,134,3,36,6/11/2023,1.3,1,89,12,STR-OPLI-21-000007
6.06E+17,Rental unit in Seattle · 2 bedrooms · 2 beds · 1 bath,107434423,Blueground,Rainier Valley,Columbia City,south,47.5612311,-122.2928934,Entire home/apt,174,31,0,,,398,324,0,
7.53E+17,Rental unit in Seattle · 1 bedroom · 1 bed · 1 bath,484295554,Blanton,University District,University District,north,47.65713,-122.31342,Private room,65,30,0,,,13,89,0,
51327984,Home in Seattle · ★4.92 · 5 bedrooms · 5 beds · 2.5 baths,28420265,Sherry,Central Area,Minor,central,47.61234,-122.3048,Entire home/apt,510,1,78,6/19/2023,3.39,38,247,44,STR-OPLI-21-000363
21799017,Rental unit in Seattle · ★4.87 · 2 bedrooms · 2 beds · 1 bath,57285609,Katarina,Queen Anne,East Queen Anne,central,47.63644,-122.34699,Entire home/apt,320,30,15,4/19/2023,0.22,1,81,2,
48336213,Home in Seattle · ★4.70 · 4 bedrooms · 5 beds · 2 baths,35560959,Amy,West Seattle,Fairmount Park,west,47.56523,-122.37339,Entire home/apt,300,2,81,6/7/2023,2.93,4,264,28,STR-OPLI-20-001018
20137424,Home in Seattle · ★4.82 · 2 bedrooms · 2 beds · 1 bath,56662173,Jim,Other neighborhoods,Fremont,north,47.65377,-122.35117,Entire home/apt,173,2,382,6/8/2023,5.96,1,171,64,STR-OPLI-19-001173
54186986,Rental unit in Seattle · ★5.0 · 1 bedroom · 1 bed · 1 bath,121426692,Lindy,Northgate,Maple Leaf,north,47.69616,-122.31717,Entire home/apt,119,30,3,1/14/2023,0.19,4,295,2,STR-OPLI-21-001401
6.34E+17,Home in Seattle · ★4.40 · 4 bedrooms · 4 beds · 2.5 baths,104834083,Vacasa Washington,Queen Anne,North Queen Anne,central,47.64683,-122.35714,Entire home/apt,358,2,15,6/8/2023,1.24,52,354,15,STR-OPLI-22-000564
7.28E+17,Townhouse in Seattle · 3 bedrooms · 3 beds · 2 baths,314324381,Sophari,Beacon Hill,North Beacon Hill,south,47.57136,-122.31346,Entire home/apt,399,2,1,10/23/2022,0.12,32,255,1,STR-OPLI-22-001148
5.58E+17,Home in Seattle · 4 bedrooms · 5 beds · 2 baths,52348356,Christian,Northgate,Maple Leaf,north,47.69934,-122.32492,Entire home/apt,495,31,0,,,1,179,0,
8.93E+17,Rental unit in Seattle · ★New · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,Central Area,Atlantic,central,47.5989426,-122.3011182,Entire home/apt,172,31,0,,,398,321,0,
40924285,Home in Seattle · ★4.81 · 3 bedrooms · 3 beds · 3 baths,54812088,Seattle Vacation Home,Other neighborhoods,Fremont,north,47.65785,-122.34678,Entire home/apt,361,1,27,5/28/2023,1.92,49,211,21,STR-OPLI-22-000392
53905330,Home in Seattle · ★5.0 · 5 bedrooms · 8 beds · 2 baths,436672049,Laura,Magnolia,Southeast Magnolia,central,47.63453,-122.39263,Entire home/apt,941,3,50,6/5/2023,2.99,10,120,24,STR-OPLI-19-001194
7.57E+17,Loft in Seattle · ★5.0 · 1 bedroom · 2 beds · 1 bath,487188811,Josh,Queen Anne,Lower Queen Anne,central,47.62112296,-122.3568374,Entire home/apt,117,1,16,6/15/2023,3.58,1,251,16,STR-OPLI-23-000067
23781996,Guest suite in Seattle · ★4.91 · 1 bedroom · 2 beds · 1 bath,14039232,Cristine,West Seattle,Arbor Heights,west,47.503071,-122.37886,Entire home/apt,105,2,115,6/14/2023,1.79,1,170,16,STR-OPLI-20-000212
52195968,Rental unit in Seattle · ★4.50 · Studio · 1 bed · 1 bath,410010562,Sweetome,Other neighborhoods,Ravenna,north,47.66235,-122.29586,Entire home/apt,195,30,6,9/28/2022,0.29,5,313,1,STR-BB-OPLI-21-000003
6.33E+17,Guest suite in Seattle · ★4.73 · 1 bedroom · 2 beds · 1 bath,460601178,Kareem,Beacon Hill,North Beacon Hill,south,47.58037,-122.30269,Entire home/apt,112,1,67,6/19/2023,5.19,1,42,61,STR-OPLI-22-000935
19316928,Home in Seattle · ★4.69 · 2 bedrooms · 2 beds · 1 bath,135299109,Mara,Ballard,West Woodland,north,47.67033,-122.36522,Entire home/apt,155,3,13,8/27/2022,0.18,1,14,2,STR-OPLI-19-002889
8.18E+17,Rental unit in Seattle · 1 bedroom · 2 beds · 1 bath,20472799,Tamara,Seward Park,Seward Park,south,47.54332026,-122.2698841,Entire home/apt,99,30,0,,,2,286,0,
21945749,Townhouse in Seattle · ★4.93 · 3 bedrooms · 3 beds · 2.5 baths,9018606,Michelle & Ferran,Other neighborhoods,Ravenna,north,47.67737,-122.30153,Entire home/apt,388,4,111,5/20/2023,1.64,1,134,9,STR-OPLI-19-000090
33406731,Guest suite in Seattle · ★4.95 · 1 bedroom · 2 beds · 1 bath,103482739,Nate,Other neighborhoods,Ravenna,north,47.67434,-122.29607,Entire home/apt,175,2,97,6/2/2023,1.93,1,35,23,STR-OPLI-19-000164
12056343,Home in Seattle · ★5.0 · 3 bedrooms · 3 beds · 3.5 baths,241762,Mark,Other neighborhoods,Laurelhurst,north,47.66771,-122.27756,Entire home/apt,299,3,29,6/12/2023,0.34,1,309,8,STR-OPLI-21-000210
7.64E+17,Rental unit in Seattle · 1 bedroom · 1 bed · 1 shared bath,3942817,Jessica,Cascade,Eastlake,central,47.63838,-122.32788,Private room,85,30,1,1/31/2023,0.21,1,302,1,
5104918,Rental unit in Seattle · ★4.76 · 2 bedrooms · 3 beds · 1 bath,9555983,Dennis,Capitol Hill,Portage Bay,central,47.64958,-122.32051,Entire home/apt,160,30,206,6/4/2023,2.07,2,304,2,STR-OPLI-19-002869
8.17E+17,Home in Seattle · ★4.80 · 1 bedroom · 2 beds · 1 shared bath,79735415,Lillian,Beacon Hill,Mid-Beacon Hill,south,47.55349574,-122.2922679,Private room,120,1,5,4/9/2023,1.4,5,349,5,
8.13E+17,Home in Seattle · 3 bedrooms · 3 beds · 2 baths,115592523,Leland,Rainier Valley,Columbia City,south,47.56265712,-122.289619,Entire home/apt,242,4,0,,,4,257,0,STR-OPLI-19-001413
14084566,Home in Seattle · ★5.0 · 1 bedroom · 1 bed · 1 private bath,50596206,Jeanine,Rainier Valley,Mount Baker,south,47.58583,-122.29436,Private room,100,1,157,6/13/2023,1.86,2,169,9,
21267688,Rental unit in Seattle · ★4.69 · 2 bedrooms · 2 beds · 1 bath,6483877,Brad,Other neighborhoods,Phinney Ridge,north,47.67841,-122.36101,Entire home/apt,199,30,17,7/11/2019,0.24,1,87,0,
8.75E+17,Home in Seattle · ★New · Studio · 1 bed · 1 bath,484899828,Amy,Cascade,Eastlake,central,47.64248646,-122.3242426,Private room,69,10,0,,,56,319,0,
6.04E+17,Home in Seattle · ★3.67 · 3 bedrooms · 3 beds · 2 baths,104834083,Vacasa Washington,Other neighborhoods,Laurelhurst,north,47.65733,-122.27922,Entire home/apt,250,2,6,4/27/2023,0.43,52,364,5,STR-OPLI-22-000338
7.62E+17,Home in Seattle · Studio · 1 bed · 1 bath,190507384,Cherry,Cascade,Eastlake,central,47.64172,-122.32486,Private room,69,10,0,,,51,323,0,
34293672,Rental unit in Seattle · ★4.50 · 2 bedrooms · 2 beds · 1 bath,3074414,Melissa,Other neighborhoods,Bryant,north,47.67582,-122.2889,Entire home/apt,162,30,8,8/14/2022,0.17,118,316,1,
45639164,Townhouse in Seattle · ★4.83 · 3 bedrooms · 3 beds · 2.5 baths,369731804,Jen & Connie,Central Area,Minor,central,47.60226,-122.30559,Entire home/apt,218,2,102,5/29/2023,4.37,1,141,47,STR-OPLI-21-000649
6.61E+17,Condo in Seattle · ★4.85 · 2 bedrooms · 2 beds · 1 bath,207773925,Lisa,Delridge,Riverview,west,47.55222,-122.36186,Entire home/apt,129,1,40,6/17/2023,3.42,6,161,40,STR-OPLI-22-001055
7.65E+17,Condo in Seattle · 2 bedrooms · 3 beds · 1 bath,33873142,Homi,Central Area,Mann,central,47.60751,-122.30231,Entire home/apt,122,2,2,1/14/2023,0.32,2,286,2,STR-OPLI-22-001838
4599119,Bungalow in Seattle · ★4.88 · 2 bedrooms · 2 beds · 1.5 baths,2095307,Paige,Other neighborhoods,Bryant,north,47.67334,-122.2892,Entire home/apt,320,30,32,12/11/2021,0.31,1,351,0,Exempt
8.17E+17,Loft in Seattle · Studio · 1 bed · 1 bath,121688409,Evolve,Central Area,Minor,central,47.60319,-122.30347,Entire home/apt,70,30,0,,,43,300,0,
7.58E+17,Home in Seattle · 1 bedroom · 1 bed · 1 bath,484899828,Amy,Cascade,Eastlake,central,47.64047,-122.3243,Private room,69,10,0,,,56,316,0,
17889129,Rental unit in Seattle · ★4.09 · 2 bedrooms · 2 beds · 1 bath,3074414,Melissa,Other neighborhoods,Bryant,north,47.67516,-122.28946,Entire home/apt,165,30,12,10/8/2022,0.16,118,49,1,
48813224,Home in Seattle · ★4.97 · 2 bedrooms · 2 beds · 1 private bath,37257444,Javier,Capitol Hill,Montlake,central,47.63836,-122.31722,Private room,123,3,34,6/17/2023,2.06,2,47,23,
8.55E+17,Rental unit in Seattle · ★4.50 · 2 bedrooms · 3 beds · 1 bath,43908818,Saugat,Central Area,Minor,central,47.61285866,-122.3041351,Entire home/apt,229,2,6,6/4/2023,2.12,3,254,6,STR-OPLI-22-001162
49889828,Rental unit in Seattle · 2 bedrooms · 2 beds · 1 bath,3074414,Melissa,Other neighborhoods,Bryant,north,47.6749,-122.28906,Entire home/apt,170,30,0,,,118,49,0,
